date,month,source,peak_mm,peak_in,active_cells,tag_source,path
1998-09-14,9,MYRORSS,93.1949691772461,3.6690932746947285,5282,raster,data/historical/mesh_0.05deg/1998/mesh_19980914.tif
1998-09-15,9,MYRORSS,112.4137954711914,4.425739979180764,7462,raster,data/historical/mesh_0.05deg/1998/mesh_19980915.tif
1998-09-16,9,MYRORSS,44.72704315185547,1.7609072107029713,6803,raster,data/historical/mesh_0.05deg/1998/mesh_19980916.tif
1998-09-17,9,MYRORSS,75.48271942138672,2.9717606071412095,3847,raster,data/historical/mesh_0.05deg/1998/mesh_19980917.tif
1998-09-18,9,MYRORSS,75.48271942138672,2.9717606071412095,5855,raster,data/historical/mesh_0.05deg/1998/mesh_19980918.tif
1998-09-19,9,MYRORSS,39.53460693359375,1.5564805879367618,2452,raster,data/historical/mesh_0.05deg/1998/mesh_19980919.tif
1998-09-20,9,MYRORSS,76.63214111328125,3.017013429656742,2204,raster,data/historical/mesh_0.05deg/1998/mesh_19980920.tif
1998-09-21,9,MYRORSS,43.38186264038086,1.7079473480464906,2140,raster,data/historical/mesh_0.05deg/1998/mesh_19980921.tif
1998-09-22,9,MYRORSS,89.24642181396484,3.5136386540931044,3618,raster,data/historical/mesh_0.05deg/1998/mesh_19980922.tif
1998-09-23,9,MYRORSS,71.82275390625,2.8276674766240157,5397,raster,data/historical/mesh_0.05deg/1998/mesh_19980923.tif
1998-09-24,9,MYRORSS,32.57386779785156,1.2824357400728963,2653,raster,data/historical/mesh_0.05deg/1998/mesh_19980924.tif
1998-09-25,9,MYRORSS,51.91218566894531,2.043786837360052,6555,raster,data/historical/mesh_0.05deg/1998/mesh_19980925.tif
1998-09-26,9,MYRORSS,33.14380645751953,1.304874269981084,1198,raster,data/historical/mesh_0.05deg/1998/mesh_19980926.tif
1998-09-27,9,MYRORSS,94.2646255493164,3.711205730288048,2360,raster,data/historical/mesh_0.05deg/1998/mesh_19980927.tif
1998-09-28,9,MYRORSS,51.44622802734375,2.0254420483206204,3447,raster,data/historical/mesh_0.05deg/1998/mesh_19980928.tif
1998-09-29,9,MYRORSS,84.48871612548828,3.326327406515287,14612,raster,data/historical/mesh_0.05deg/1998/mesh_19980929.tif
1998-09-30,9,MYRORSS,60.11125183105469,2.366584717758059,9910,raster,data/historical/mesh_0.05deg/1998/mesh_19980930.tif
1998-10-01,10,MYRORSS,81.3975601196289,3.2046283511664924,15000,raster,data/historical/mesh_0.05deg/1998/mesh_19981001.tif
